RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
73249,Round,1.300,F,IF,Ideal,Excellent,Excellent,None ,6.94-6.98x4.31,IGI,S3B49948,14144.0000,61.9,58.00,33514486
73249,Round,1.300,E,VVS1,Ideal,Very Good,Excellent,None ,6.97-6.99x4.32,IGI,S2E14431,16738.8000,61.9,57.50,35292715
73249,Round,1.300,G,IF,Ideal,Excellent,Excellent,None ,6.98-7.03x4.35,IGI,S3C36167,12448.8000,62.1,56.00,37231995
69060,Round,1.300,I,VVS2,Excellent,Excellent,Excellent,None ,7.00-7.03x4.35,IGI,S3E25520,7508.8000,62.0,55.50,39729965
69060,Round,1.300,H,SI1,Excellent,Excellent,Very Good,None ,6.96-7.00x4.28,IGI,S3C11111,6793.8000,61.3,60.00,40463975
69060,Round,1.300,G,VS2,Excellent,Excellent,Excellent,None ,7.00-7.06x4.31,GIA,5126419739,9594.0000,61.3,57.00,39492528
71234,Round,1.300,F,VVS1,Excellent,Excellent,Excellent,Medium ,7.00-7.02x4.31,GIA,2136837998,12831.0000,61.5,56.00,39794639
71234,Round,1.300,E,IF,Excellent,Excellent,Excellent,None ,6.95-6.98x4.32,GIA,1139258203,18552.3000,62.0,57.00,37698987
71234,Round,1.300,F,VVS2,Excellent,Excellent,Excellent,Faint ,6.95-6.97x4.35,GIA,5136873299,11602.5000,62.5,57.00,40283014
60745,Round,1.300,G,VVS1,Very Good,Excellent,Excellent,None ,6.85-6.88x4.41,GIA,2136310910,11653.2000,64.2,56.00,37958012
60745,Round,1.300,I,IF,Very Good,Excellent,Excellent,None ,6.83-6.87x4.37,GIA,5146033362,8895.9000,63.8,57.00,40505229
60745,Round,1.300,F,VS1,Very Good,Excellent,Very Good,None ,6.84-6.88x4.39,GIA,2136332939,10952.5000,63.9,57.00,37972423
60745,Round,1.300,J,VVS2,Excellent,Excellent,Excellent,None ,6.91-6.96x4.35,GIA,2136673989,6951.7500,62.7,56.00,39357965
60745,Round,1.300,K,VVS2,Excellent,Excellent,Excellent,Faint ,6.92-6.97x4.36,GIA,2136683431,6130.8000,62.8,57.00,39357966
60745,Round,1.300,D,VVS1,Excellent,Excellent,Very Good,None ,6.87-6.95x4.37,GIA,2126968640,21058.7000,63.2,56.00,36817196
60745,Round,1.300,I,SI1,Very Good,Very Good,Excellent,None ,6.82-6.87x4.39,GIA,1139765157,5859.1000,64.1,55.00,39691181
60745,Round,1.300,G,IF,Excellent,Excellent,Excellent,None ,6.91-6.96x4.35,GIA,1146901883,12109.5000,62.8,56.00,39707691
60745,Round,1.300,E,VVS2,Excellent,Excellent,Very Good,None ,6.97-7.05x4.26,GIA,1129710232,12950.6000,60.8,61.00,37838090
60745,Round,1.300,G,SI2,Very Good,Very Good,Good,None ,6.84-6.92x4.39,GIA,2121823928,5430.1000,63.8,55.00,29291337
60745,Round,1.300,D,VVS2,Very Good,Excellent,Excellent,None ,6.81-6.86x4.41,GIA,2121495898,16198.0000,64.5,56.00,28217547
60745,Round,1.300,M,SI1,Very Good,Very Good,Very Good,None ,6.81-6.87x4.39,GIA,6147271680,2793.7000,64.2,57.00,35459209
60745,Round,1.300,K,VS1,Excellent,Excellent,Excellent,None ,6.95-6.97x4.34,GIA,1139923138,4848.2200,62.4,57.00,40452252
60745,Round,1.300,J,VS1,Very Good,Excellent,Excellent,None ,6.83-6.85x4.36,IGI,S3E14888,5230.5500,63.8,58.50,40452251
60745,Round,1.300,I,SI1,Very Good,Excellent,Excellent,Very Slight ,6.79-6.86x4.37,IGI,S3D20774,5062.2000,64.0,56.50,39073880
60745,Round,1.300,I,VS2,Very Good,Excellent,Excellent,None ,6.82-6.85x4.39,IGI,S3D36012,6203.6000,64.2,56.00,38102764
60745,Round,1.300,I,VS1,Excellent,Excellent,Excellent,None ,6.93-6.99x4.37,IGI,S3C54438,6839.3000,62.9,56.00,37045331
60745,Cushion Modified,1.300,E,VS1,,Excellent,Very Good,None ,6.91x6.01x4.05,GIA,5136705676,8446.1000,67.3,60.00,39784948
32235,Round,1.300,G,IF,Excellent,Excellent,Excellent,None ,6.99-7.02x4.31,GIA,1129842828,11411.4000,61.5,56.00,38320753
32235,Round,1.300,G,VVS2,Excellent,Excellent,Excellent,None ,6.99-7.02x4.35,GIA,2136840306,11619.4000,62.0,57.00,40546491
68276,Round,1.300,D,VVS1,Excellent,Excellent,Very Good,None ,6.87-6.95x4.37,GIA,2126968640,21071.7000,63.2,56.00,37316699
68276,Round,1.300,J,VVS2,Excellent,Excellent,Excellent,None ,6.91-6.96x4.35,GIA,2136673989,7042.1000,62.7,56.00,39387550
68276,Round,1.300,I,IF,Very Good,Excellent,Excellent,None ,6.83-6.87x4.37,GIA,5146033362,9005.1000,63.8,57.00,40532060
68276,Round,1.300,K,VVS2,Excellent,Excellent,Excellent,Faint ,6.92-6.97x4.36,GIA,2136683431,6212.7000,62.8,57.00,39387551
68276,Round,1.300,F,VS1,Very Good,Excellent,Very Good,None ,6.84-6.88x4.39,GIA,2136332939,10965.5000,63.9,57.00,38077013
68276,Round,1.300,G,VVS1,Very Good,Excellent,Excellent,None ,6.85-6.88x4.41,GIA,2136310910,11666.2000,64.2,56.00,38077014
68276,Round,1.300,K,VS1,Excellent,Excellent,Excellent,None ,6.95-6.97x4.34,GIA,1139923138,4916.6000,62.4,57.00,40138023
68276,Round,1.300,M,SI1,Very Good,Very Good,Very Good,None ,6.81-6.87x4.39,GIA,6147271680,2841.8000,64.2,57.00,35486691
68276,Round,1.300,G,SI2,Very Good,Very Good,Good,None ,6.84-6.92x4.39,GIA,2121823928,5504.2000,63.8,55.00,29307185
68276,Round,1.300,G,IF,Excellent,Excellent,Excellent,None ,6.91-6.96x4.35,GIA,1146901883,12122.5000,62.8,56.00,39780206
68276,Round,1.300,E,VVS2,Excellent,Excellent,Very Good,None ,6.97-7.05x4.26,GIA,1129710232,12963.6000,60.8,61.00,37843409
68276,Round,1.300,I,SI1,Very Good,Very Good,Excellent,None ,6.82-6.87x4.39,GIA,1139765157,5938.4000,64.1,55.00,39780208
68276,Round,1.300,D,VVS2,Very Good,Excellent,Excellent,None ,6.81-6.86x4.41,GIA,2121495898,16211.0000,64.5,56.00,28245161
68276,Cushion Modified,1.300,E,VS1,,Excellent,Very Good,None ,6.91x6.01x4.05,GIA,5136705676,8551.4000,67.3,60.00,39841094
68276,Round,1.300,I,VS2,Very Good,Excellent,Excellent,None ,6.82-6.85x4.39,IGI,S3D36012,6285.5000,64.2,56.00,38135247
68276,Round,1.300,I,VS1,Excellent,Excellent,Excellent,None ,6.93-6.99x4.37,IGI,S3C54438,6927.7000,62.9,56.00,37064638
68276,Round,1.300,I,SI1,Very Good,Excellent,Excellent,Very Slight ,6.79-6.86x4.37,IGI,S3D20774,5132.4000,64.0,56.50,39119388
68276,Round,1.300,J,VS1,Very Good,Excellent,Excellent,None ,6.83-6.85x4.36,IGI,S3E14888,5304.0000,63.8,58.50,40017912
69082,Round,1.300,D,VVS2,Excellent,Excellent,Excellent,None ,6.95-7.00x4.34,GIA,2145383492,18990.4000,62.2,57.00,37478218
69082,Round,1.300,F,VVS2,Excellent,Excellent,Very Good,None ,6.95-6.98x4.36,GIA,2145377465,12066.6000,62.6,57.00,37478295
73960,Round,1.300,K,VS2,Excellent,Excellent,Excellent,Faint ,6.95-6.97x4.36,GIA,1129972861,4290.0000,62.6,56.00,40607429
73960,Round,1.300,G,SI1,Excellent,Excellent,Excellent,None ,6.94-6.97x4.37,GIA,"2,136,383,559.00",8236.8000,62.8,56.00,40693946
