RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
69060,Round,2.000,I,VVS1,Very Good,Excellent,Good,None ,7.68-7.84x5.09,IGI,S3A37032,18600.0000,65.3,58.00,31430679
69060,Round,2.000,K,VS1,Excellent,Excellent,Excellent,None ,8.00-8.09x5.01,IGI,S3C72948,12972.0000,62.4,57.00,37300684
69060,Round,2.000,H,VS1,Excellent,Excellent,Very Good,None ,7.96-8.01x5.06,IGI,S3D21082,22720.0000,63.4,57.50,37722370
71306,Round,2.000,G,SI1,Very Good,Excellent,Very Good,Very Slight ,7.80-7.82x5.09,IGI,S2D32749,18717.4000,65.2,60.50,29369437
55550,Round,2.000,F,SI2,Excellent,Excellent,Very Good,Medium ,8.08-8.11x4.97,GIA,2136204282,16498.0000,61.4,60.00,37809883
71269,Princess,2.000,F,VS2,,Very Good,Very Good,None ,7.30x6.88x4.96,GIA,5136126328,17920.0000,72.1,81.00,37827201
71269,Round,2.000,L,VVS1,Good,Excellent,Very Good,Very Slight ,7.52-7.65x5.15,IGI,F5H84104,9460.0000,67.6,55.50,32410700
24308,Pear,2.000,G,VVS2,,Very Good,Good,None ,12.01x7.19x3.47,HRD,11035957001,20148.0000,48.3,64.00,37196676
71384,Round,2.000,L,VS2,Good,Excellent,Very Good,None ,7.84-7.88x4.90,IGI,S3B18358,8400.0000,63.1,58.50,33338017
71384,Round,2.000,J,SI2,Excellent,Excellent,Excellent,None ,8.14-8.18x4.83,IGI,S3A88423,9516.0000,59.2,58.50,32512424
71384,Round,2.000,K,VS2,Very Good,Very Good,Very Good,None ,7.78-7.82x5.04,IGI,S3A89197,10736.0000,64.6,56.00,32581919
71384,Round,2.000,G,VVS2,Good,Very Good,Good,None ,8.19-8.38x4.79,IGI,S3C67503,24360.0000,57.8,67.50,37410878
71384,Round,2.000,K,SI2,Very Good,Very Good,Very Good,None ,7.94-7.96x5.08,IGI,S3B24016,8024.0000,63.9,56.50,32964673
71384,Round,2.000,M,VVS2,Good,Excellent,Excellent,None ,7.84-7.85x5.00,IGI,S3B24012,8732.0000,63.7,56.50,32964676
71384,Round,2.000,K,VS2,Excellent,Excellent,Excellent,None ,8.13-8.16x4.83,IGI,S3A92219,11088.0000,59.3,62.50,32631782
71384,Round,2.000,L,I1,Very Good,Excellent,Excellent,None ,7.88-7.93x5.07,GIA,2126547091,5460.0000,64.1,61.00,33160958
60745,Round,2.000,G,IF,Very Good,Excellent,Very Good,None ,7.99-8.02x5.05,GIA,2131560086,37814.0000,63.1,56.00,32297247
60745,Round,2.000,H,VVS1,Good,Excellent,Good,None ,7.75-7.85x5.14,GIA,6137218762,26850.0000,65.8,55.00,30948289
60745,Round,2.000,G,VVS2,Good,Excellent,Excellent,None ,7.82-7.87x5.07,GIA,2121161729,28948.0000,64.6,58.00,27260259
60745,Round,2.000,H,VVS1,Good,Excellent,Very Good,None ,7.71-7.80x5.13,GIA,2141270525,26974.0000,66.1,56.00,35459213
60745,Round,2.000,G,SI2,Fair,Good,Good,Strong ,7.72-7.84x5.14,GIA,16252651,11364.0000,66.1,54.00,24124613
60745,Round,2.000,G,VS1,Good,Excellent,Very Good,None ,7.78-7.85x5.12,GIA,6137671218,23302.0000,65.5,55.00,32744424
60745,Round,2.000,G,SI1,Good,Very Good,Very Good,None ,7.77-7.83x5.15,GIA,2131522857,16898.0000,66.0,55.00,32142131
60745,Round,2.000,H,VS1,Good,Excellent,Excellent,None ,7.78-7.83x5.11,GIA,6137308322,20942.0000,65.4,58.00,31331820
60745,Round,2.000,G,VS1,Good,Excellent,Very Good,None ,7.83-7.87x5.02,GIA,5126621823,23970.0000,64.0,58.00,34199862
60745,Round,2.000,G,SI2,Good,Very Good,Very Good,None ,7.74-7.81x5.11,GIA,6137672636,14404.0000,65.7,59.00,32744425
60745,Round,2.000,H,VS1,Good,Excellent,Excellent,None ,7.82-7.86x5.01,GIA,6137608949,21482.0000,63.9,61.00,32410774
60745,Round,2.000,G,VVS1,Very Good,Very Good,Good,None ,7.92-8.00x5.00,GIA,2111318108,31892.0000,62.8,58.00,24577053
60745,Round,2.000,G,VVS2,Very Good,Very Good,Very Good,None ,7.99-8.09x4.98,GIA,2126928779,31096.0000,61.9,57.00,36687771
60745,Round,2.000,E,VS2,Very Good,Very Good,Very Good,None ,7.95-8.00x4.98,GIA,2126842707,29020.0000,62.4,60.00,35854770
60745,Round,2.000,G,SI1,Excellent,Excellent,Excellent,None ,7.97-8.06x4.99,IGI,S2G56009,16552.0000,62.2,59.00,28576573
60745,Round,2.000,G,VS2,Good,Excellent,Very Good,None ,7.74-7.78x5.15,IGI,S3B22648,18414.0000,66.4,55.50,33040160
60745,Round,2.000,E,VVS2,Very Good,Excellent,Excellent,Strong ,7.85-7.94x5.05,IGI,S3C34967,35284.0000,64.1,56.50,36276816
60745,Round,2.000,H,VVS1,Excellent,Excellent,Very Good,None ,8.09-8.14x4.94,GIA,1146312665,31888.0000,60.8,61.00,35834548
60745,Heart,2.000,E,VS2,,Very Good,Fair,Very Strong ,8.44x8.48x4.74,GIA,17244575,15848.0000,55.9,57.00,22288006
32235,Round,2.000,F,VVS2,Very Good,Very Good,Excellent,None ,7.98-8.03x5.06,HRD,10006164005,35510.0000,63.3,56.00,37720428
32235,Round,2.000,F,VS1,Excellent,Very Good,Excellent,None ,8.04-8.06x5.03,HRD,10008733004,34200.0000,62.5,57.00,37720437
32235,Round,2.000,D,SI2,Very Good,Excellent,Excellent,None ,7.92-7.95x5.09,IGI,S2F49625,14760.0000,64.1,54.50,37720470
32235,Round,2.000,F,VS2,Excellent,Very Good,Very Good,None ,8.04-8.07x5.01,GIA,2106937660,34040.0000,62.2,57.00,37721976
32235,Round,2.000,G,VS1,Excellent,Excellent,Excellent,None ,7.98-8.02x5.04,GIA,1109882813,35280.0000,63.0,56.00,36483026
32235,Round,2.000,F,VVS2,Very Good,Excellent,Excellent,None ,7.94-7.98x5.06,IGI,S2H22579,33390.0000,63.6,55.00,37720581
32235,Round,2.000,H,VVS1,Very Good,Excellent,Excellent,None ,7.94-7.97x5.04,GIA,2116693773,30810.0000,63.4,55.00,37720592
32235,Round,2.000,H,VVS1,Very Good,Excellent,Very Good,None ,7.80-7.95x5.04,GIA,1129093820,30810.0000,63.9,57.00,37720806
32235,Round,2.000,G,VS1,Excellent,Excellent,Very Good,None ,7.98-8.05x4.99,GIA,1119996192,28440.0000,62.2,57.00,37720808
32235,Round,2.000,G,VVS2,Very Good,Excellent,Excellent,None ,7.94-7.97x5.05,GIA,1119725540,33180.0000,63.5,55.00,37721975
32235,Round,2.000,G,SI2,Excellent,Excellent,Excellent,None ,8.03-8.07x5.01,GIA,2116775876,17280.0000,62.2,56.00,37720584
32235,Round,2.000,J,VS2,Very Good,Excellent,Excellent,None ,7.89-7.92x5.06,GIA,1119745879,13870.0000,64.0,56.00,37720513
