货号,证书类型,颜色,净度,数量,重量,库存地点,金额,证书,形状,切工
S112-15,GTC,J,SI2,1,0.517,长寿西路41号店,3656,39881301954,round,VG
S112-16,GTC,J,SI1,1,0.516,长寿西路41号店,4105,39881301955,round,VG
S112-17,GTC,J,SI2,1,0.508,长寿西路41号店,3592,39881301956,round,VG
S112-18,GTC,J,VS2,1,0.584,长寿西路41号店,5162,39881301957,round,VG
S112-19,GTC,J,SI1,1,0.507,长寿西路41号店,4033,39881301958,round,VG
S112-20,GTC,I,SI1,1,0.528,长寿西路41号店,4308,39881301959,round,VG
S98-01,GTC,I,VS1,1,0.308,长寿西路41号店,2450,39881301871,round,VG
S98-02,GTC,J,VVS2,1,0.358,长寿西路41号店,2531,39881301870,round,VG
S108-05,GTC,H,VS2,1,0.612,长寿西路41号店,7303,39881301899,round,VG
S108-06,GTC,H,VS2,1,0.511,长寿西路41号店,6998,39881301898,round,VG
S102,GTC,G,VS1,1,0.4,长寿西路41号店,4596,39881301852,round,VG
S112,GTC,K,SI1,1,0.71,长寿西路41号店,6942,39881301854,round,VG
S109-14,GTC,J,SI1,1,0.508,长寿西路41号店,4041,39881301973,round,VG
S109-15,GTC,J,VVS2,1,0.51,长寿西路41号店,5635,39881301974,round,VG
S38-02,GTC,J,SI2,1,0.381,长寿西路41号店,1852,39881301876,round,VG
S38-03,GTC,J,SI2,1,0.33,长寿西路41号店,1604,39881301875,round,VG
S66-01,GTC,H,VVS2,1,0.316,长寿西路41号店,3212,39881301888,round,VG
S66-08,GTC,I,VS1,1,0.303,长寿西路41号店,2410,39881301881,round,VG
S66-09,GTC,I,VVS2,1,0.331,长寿西路41号店,2926,39881301880,round,VG
S111-01,GTC,H,SI2,1,0.511,长寿西路41号店,4291,39881301913,round,VG
S111-02,GTC,H,VS2,1,0.506,长寿西路41号店,6038,39881301912,round,VG
S107-01,GTC,J,VVS2,1,0.512,长寿西路41号店,5657,39881301939,round,VG
S107-02,GTC,K,VVS2,1,0.52,长寿西路41号店,5056,39881301938,round,VG
S107-03,GTC,K,VVS2,1,0.51,长寿西路41号店,4959,39881301937,round,VG
S105-06,GTC,G,VVS2,1,0.61,长寿西路41号店,11324,39881301981,round,VG
S105-07,GTC,I,VVS2,1,0.508,长寿西路41号店,6960,39881301980,round,VG
S105-08,GTC,J,VS1,1,0.531,长寿西路41号店,4928,39881301979,round,VG
S105-09,GTC,I,VVS2,1,0.57,长寿西路41号店,7810,39881301978,round,VG
S106-15,GTC,J,VS1,1,0.517,长寿西路41号店,4798,39881301919,round,VG
S106-16,GTC,K,VVS2,1,0.508,长寿西路41号店,4939,39881301918,round,VG
S106-17,GTC,J,VVS2,1,0.7,长寿西路41号店,9900,39881301917,round,VG
S106-18,GTC,J,VVS2,1,0.641,长寿西路41号店,7083,39881301916,round,VG
S106-19,GTC,K,VVS2,1,0.534,长寿西路41号店,5192,39881301915,round,VG
S106-20,GTC,J,VVS2,1,0.567,长寿西路41号店,6265,39881301914,round,VG
S109-12,GTC,K,VS1,1,0.548,长寿西路41号店,4602,39881301971,round,VG
S109-13,GTC,I,VS2,1,0.572,长寿西路41号店,5814,39881301972,round,VG
S66-06,GTC,H,VVS2,1,0.346,长寿西路41号店,3517,39881301883,round,VG
S66-10,GTC,H,VS1,1,0.323,长寿西路41号店,2855,39881301879,round,VG
S66-11,GTC,G,VVS2,1,0.312,长寿西路41号店,3447,39881301878,round,VG
S111-03,GTC,H,SI2,1,0.651,长寿西路41号店,5467,39881301911,round,VG
S111-06,GTC,G,SI2,1,0.505,长寿西路41号店,4464,39881301908,round,VG
S111-07,GTC,I,SI1,1,0.536,长寿西路41号店,4738,39881301907,round,VG
S34-07,GTC,J,VS2,1,0.323,长寿西路41号店,1855,39881301891,round,VG
S34-03,GTC,J,VVS2,1,0.383,长寿西路41号店,2708,39881301895,round,VG
S34-04,GTC,I,VVS2,1,0.344,长寿西路41号店,3040,39881301894,round,VG
